project,state,web_links
openk-usermodules/org.eclipse.openk-usermodules.plannedGridMeasures.frontend,ACTIVE,plugins/gitiles/openk-usermodules/org.eclipse.openk-usermodules.plannedGridMeasures.frontend
ee4j/jacc,ACTIVE,plugins/gitiles/ee4j/jacc
scout/maven-master,ACTIVE,plugins/gitiles/scout/maven-master
virgo/org.eclipse.virgo.sample-configuration-properties,ACTIVE,plugins/gitiles/virgo/org.eclipse.virgo.sample-configuration-properties
www.eclipse.org/org,ACTIVE,plugins/gitiles/www.eclipse.org/org
permissions/ee4j-dev,ACTIVE,plugins/gitiles/permissions/ee4j-dev
dltk/org.eclipse.dltk.python,ACTIVE,plugins/gitiles/dltk/org.eclipse.dltk.python
www.eclipse.org/ee4j/jersey,ACTIVE,plugins/gitiles/www.eclipse.org/ee4j/jersey
www.eclipse.org/gmf-runtime,ACTIVE,plugins/gitiles/www.eclipse.org/gmf-runtime
capra/org.eclipse.capra,ACTIVE,plugins/gitiles/capra/org.eclipse.capra
permissions/oomph-dev,ACTIVE,plugins/gitiles/permissions/oomph-dev
permissions/antenna-dev,ACTIVE,plugins/gitiles/permissions/antenna-dev
osbp/org.eclipse.osbp.vaaclipse.addons.common.api,ACTIVE,plugins/gitiles/osbp/org.eclipse.osbp.vaaclipse.addons.common.api
www.eclipse.org/thym,ACTIVE,plugins/gitiles/www.eclipse.org/thym
gemini.web/org.eclipse.gemini.web.gemini-web-container,ACTIVE,plugins/gitiles/gemini.web/org.eclipse.gemini.web.gemini-web-container
app4mc/org.eclipse.app4mc.tools,ACTIVE,plugins/gitiles/app4mc/org.eclipse.app4mc.tools
app4mc/org.eclipse.app4mc.releng,ACTIVE,plugins/gitiles/app4mc/org.eclipse.app4mc.releng
fmc/org.eclipse.fmc.core,ACTIVE,plugins/gitiles/fmc/org.eclipse.fmc.core
gmf-tooling/org.eclipse.gmf-tooling.uml2tools,ACTIVE,plugins/gitiles/gmf-tooling/org.eclipse.gmf-tooling.uml2tools
openk-usermodules/org.eclipse.openk-usermodules.standbyPlanning.docu,ACTIVE,plugins/gitiles/openk-usermodules/org.eclipse.openk-usermodules.standbyPlanning.docu
permissions/dirigible-dev,ACTIVE,plugins/gitiles/permissions/dirigible-dev
ptp/org.eclipse.remote,ACTIVE,plugins/gitiles/ptp/org.eclipse.remote
cdo/cdo.incubator,ACTIVE,plugins/gitiles/cdo/cdo.incubator
www.eclipse.org/vorto,ACTIVE,plugins/gitiles/www.eclipse.org/vorto
e4/org.eclipse.e4.search,ACTIVE,plugins/gitiles/e4/org.eclipse.e4.search
webservices/webtools.webservices,ACTIVE,plugins/gitiles/webservices/webtools.webservices
permissions/jakartaee-stable-dev,ACTIVE,plugins/gitiles/permissions/jakartaee-stable-dev
